datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,2,0,0.9,-17.1700,-58.1230,29
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,1,0,0.5,-17.1800,-58.1000,23.5
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,2,0,0.7,-17.1830,-58.1200,39
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,1,0,0.5,-17.1920,-58.0980,70.6
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,2,0,0.6,-17.1960,-58.1180,57.7
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.3,-18.7860,-56.9970,60.9
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,2,0,0.3,-18.7900,-57.0200,46.3
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-18.9380,-56.9930,27.4
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-19.0420,-57.1090,33.9
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.9,-19.0720,-57.0750,22.4
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.9,-19.0780,-57.0790,35.5
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-19.5450,-57.0570,37.9
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-19.7730,-57.4310,70.4
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-19.7730,-57.4380,71.1
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-19.7760,-57.4510,86.6
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-19.7760,-57.4580,116
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-19.7800,-57.4710,84.5
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-19.7850,-57.4280,86.7
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-19.7930,-57.4680,26.2
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.3,-19.9950,-57.7250,34.1
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.3,-19.9980,-57.7170,24
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.9,-20.1200,-57.4650,40.8
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-20.1330,-57.4550,21.8
2019/08/30 18:00:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-20.1330,-57.4630,56.6
